Burnup,k-eff,Enrichment,Gd,GD_Contents,BOC_CBC,EOC_BU
0,1.10396,1.5,0,4,941.7007863,4.88
0.5,1.09378,1.5,0,4,941.7007863,4.88
1,1.0922,1.5,0,4,941.7007863,4.88
1.5,1.08907,1.5,0,4,941.7007863,4.88
2,1.08473,1.5,0,4,941.7007863,4.88
2.5,1.07961,1.5,0,4,941.7007863,4.88
3,1.07401,1.5,0,4,941.7007863,4.88
3.5,1.06815,1.5,0,4,941.7007863,4.88
4,1.06215,1.5,0,4,941.7007863,4.88
4.5,1.05609,1.5,0,4,941.7007863,4.88
5,1.05005,1.5,0,4,941.7007863,4.88
5.5,1.04407,1.5,0,4,941.7007863,4.88
6,1.03815,1.5,0,4,941.7007863,4.88
6.5,1.03233,1.5,0,4,941.7007863,4.88
7,1.02661,1.5,0,4,941.7007863,4.88
7.5,1.02099,1.5,0,4,941.7007863,4.88
8,1.01547,1.5,0,4,941.7007863,4.88
8.5,1.01006,1.5,0,4,941.7007863,4.88
9,1.00475,1.5,0,4,941.7007863,4.88
9.5,0.99954,1.5,0,4,941.7007863,4.88
10,0.99443,1.5,0,4,941.7007863,4.88
10.5,0.98942,1.5,0,4,941.7007863,4.88
11,0.9845,1.5,0,4,941.7007863,4.88
11.5,0.97967,1.5,0,4,941.7007863,4.88
12,0.97492,1.5,0,4,941.7007863,4.88
12.5,0.97026,1.5,0,4,941.7007863,4.88
13,0.96568,1.5,0,4,941.7007863,4.88
13.5,0.96118,1.5,0,4,941.7007863,4.88
14,0.95676,1.5,0,4,941.7007863,4.88
14.5,0.95241,1.5,0,4,941.7007863,4.88
15,0.94814,1.5,0,4,941.7007863,4.88
17.5,0.92841,1.5,0,4,941.7007863,4.88
20,0.90994,1.5,0,4,941.7007863,4.88
22.5,0.89308,1.5,0,4,941.7007863,4.88
25,0.87777,1.5,0,4,941.7007863,4.88
27.5,0.86395,1.5,0,4,941.7007863,4.88
30,0.85154,1.5,0,4,941.7007863,4.88
32.5,0.84042,1.5,0,4,941.7007863,4.88
35,0.83048,1.5,0,4,941.7007863,4.88
37.5,0.82161,1.5,0,4,941.7007863,4.88
40,0.81369,1.5,0,4,941.7007863,4.88
42.5,0.8066,1.5,0,4,941.7007863,4.88
45,0.80024,1.5,0,4,941.7007863,4.88
47.5,0.79451,1.5,0,4,941.7007863,4.88
50,0.78933,1.5,0,4,941.7007863,4.88
52.5,0.78462,1.5,0,4,941.7007863,4.88
55,0.78031,1.5,0,4,941.7007863,4.88
57.5,0.77634,1.5,0,4,941.7007863,4.88
60,0.77268,1.5,0,4,941.7007863,4.88
0,1.02853,1.5,4,4,277.3861725,4.922
0.5,1.02555,1.5,4,4,277.3861725,4.922
1,1.03222,1.5,4,4,277.3861725,4.922
1.5,1.0385,1.5,4,4,277.3861725,4.922
2,1.04508,1.5,4,4,277.3861725,4.922
2.5,1.05261,1.5,4,4,277.3861725,4.922
3,1.06084,1.5,4,4,277.3861725,4.922
3.5,1.0653,1.5,4,4,277.3861725,4.922
4,1.06223,1.5,4,4,277.3861725,4.922
4.5,1.05645,1.5,4,4,277.3861725,4.922
5,1.05059,1.5,4,4,277.3861725,4.922
5.5,1.04477,1.5,4,4,277.3861725,4.922
6,1.0389,1.5,4,4,277.3861725,4.922
6.5,1.03308,1.5,4,4,277.3861725,4.922
7,1.02734,1.5,4,4,277.3861725,4.922
7.5,1.02171,1.5,4,4,277.3861725,4.922
8,1.01617,1.5,4,4,277.3861725,4.922
8.5,1.01075,1.5,4,4,277.3861725,4.922
9,1.00543,1.5,4,4,277.3861725,4.922
9.5,1.00021,1.5,4,4,277.3861725,4.922
10,0.99508,1.5,4,4,277.3861725,4.922
10.5,0.99005,1.5,4,4,277.3861725,4.922
11,0.98512,1.5,4,4,277.3861725,4.922
11.5,0.98027,1.5,4,4,277.3861725,4.922
12,0.97551,1.5,4,4,277.3861725,4.922
12.5,0.97084,1.5,4,4,277.3861725,4.922
13,0.96624,1.5,4,4,277.3861725,4.922
13.5,0.96172,1.5,4,4,277.3861725,4.922
14,0.95729,1.5,4,4,277.3861725,4.922
14.5,0.95292,1.5,4,4,277.3861725,4.922
15,0.94863,1.5,4,4,277.3861725,4.922
17.5,0.92881,1.5,4,4,277.3861725,4.922
20,0.91024,1.5,4,4,277.3861725,4.922
22.5,0.89327,1.5,4,4,277.3861725,4.922
25,0.87784,1.5,4,4,277.3861725,4.922
27.5,0.86391,1.5,4,4,277.3861725,4.922
30,0.85138,1.5,4,4,277.3861725,4.922
32.5,0.84016,1.5,4,4,277.3861725,4.922
35,0.83012,1.5,4,4,277.3861725,4.922
37.5,0.82116,1.5,4,4,277.3861725,4.922
40,0.81316,1.5,4,4,277.3861725,4.922
42.5,0.806,1.5,4,4,277.3861725,4.922
45,0.79959,1.5,4,4,277.3861725,4.922
47.5,0.79381,1.5,4,4,277.3861725,4.922
50,0.78858,1.5,4,4,277.3861725,4.922
52.5,0.78384,1.5,4,4,277.3861725,4.922
55,0.7795,1.5,4,4,277.3861725,4.922
57.5,0.77551,1.5,4,4,277.3861725,4.922
60,0.77183,1.5,4,4,277.3861725,4.922
0,0.96835,1.5,8,4,-326.8446326,4.9071
0.5,0.96972,1.5,8,4,-326.8446326,4.9071
1,0.98135,1.5,8,4,-326.8446326,4.9071
1.5,0.99348,1.5,8,4,-326.8446326,4.9071
2,1.0072,1.5,8,4,-326.8446326,4.9071
2.5,1.02384,1.5,8,4,-326.8446326,4.9071
3,1.04412,1.5,8,4,-326.8446326,4.9071
3.5,1.06078,1.5,8,4,-326.8446326,4.9071
4,1.06246,1.5,8,4,-326.8446326,4.9071
4.5,1.05693,1.5,8,4,-326.8446326,4.9071
5,1.05116,1.5,8,4,-326.8446326,4.9071
5.5,1.04548,1.5,8,4,-326.8446326,4.9071
6,1.03968,1.5,8,4,-326.8446326,4.9071
6.5,1.03385,1.5,8,4,-326.8446326,4.9071
7,1.02809,1.5,8,4,-326.8446326,4.9071
7.5,1.02243,1.5,8,4,-326.8446326,4.9071
8,1.01688,1.5,8,4,-326.8446326,4.9071
8.5,1.01144,1.5,8,4,-326.8446326,4.9071
9,1.0061,1.5,8,4,-326.8446326,4.9071
9.5,1.00087,1.5,8,4,-326.8446326,4.9071
10,0.99573,1.5,8,4,-326.8446326,4.9071
10.5,0.99068,1.5,8,4,-326.8446326,4.9071
11,0.98573,1.5,8,4,-326.8446326,4.9071
11.5,0.98086,1.5,8,4,-326.8446326,4.9071
12,0.97609,1.5,8,4,-326.8446326,4.9071
12.5,0.97139,1.5,8,4,-326.8446326,4.9071
13,0.96678,1.5,8,4,-326.8446326,4.9071
13.5,0.96224,1.5,8,4,-326.8446326,4.9071
14,0.95778,1.5,8,4,-326.8446326,4.9071
14.5,0.9534,1.5,8,4,-326.8446326,4.9071
15,0.94909,1.5,8,4,-326.8446326,4.9071
17.5,0.92916,1.5,8,4,-326.8446326,4.9071
20,0.91049,1.5,8,4,-326.8446326,4.9071
22.5,0.8934,1.5,8,4,-326.8446326,4.9071
25,0.87786,1.5,8,4,-326.8446326,4.9071
27.5,0.8638,1.5,8,4,-326.8446326,4.9071
30,0.85116,1.5,8,4,-326.8446326,4.9071
32.5,0.83983,1.5,8,4,-326.8446326,4.9071
35,0.8297,1.5,8,4,-326.8446326,4.9071
37.5,0.82065,1.5,8,4,-326.8446326,4.9071
40,0.81257,1.5,8,4,-326.8446326,4.9071
42.5,0.80535,1.5,8,4,-326.8446326,4.9071
45,0.79887,1.5,8,4,-326.8446326,4.9071
47.5,0.79304,1.5,8,4,-326.8446326,4.9071
50,0.78778,1.5,8,4,-326.8446326,4.9071
52.5,0.783,1.5,8,4,-326.8446326,4.9071
55,0.77863,1.5,8,4,-326.8446326,4.9071
57.5,0.77462,1.5,8,4,-326.8446326,4.9071
60,0.77092,1.5,8,4,-326.8446326,4.9071
0,0.89732,1.5,12,4,-1144.296349,5.005
0.5,0.90714,1.5,12,4,-1144.296349,5.005
1,0.9286,1.5,12,4,-1144.296349,5.005
1.5,0.9518,1.5,12,4,-1144.296349,5.005
2,0.97781,1.5,12,4,-1144.296349,5.005
2.5,1.00775,1.5,12,4,-1144.296349,5.005
3,1.03937,1.5,12,4,-1144.296349,5.005
3.5,1.05985,1.5,12,4,-1144.296349,5.005
4,1.06184,1.5,12,4,-1144.296349,5.005
4.5,1.05693,1.5,12,4,-1144.296349,5.005
5,1.05155,1.5,12,4,-1144.296349,5.005
5.5,1.04605,1.5,12,4,-1144.296349,5.005
6,1.04029,1.5,12,4,-1144.296349,5.005
6.5,1.03448,1.5,12,4,-1144.296349,5.005
7,1.02872,1.5,12,4,-1144.296349,5.005
7.5,1.02305,1.5,12,4,-1144.296349,5.005
8,1.0175,1.5,12,4,-1144.296349,5.005
8.5,1.01205,1.5,12,4,-1144.296349,5.005
9,1.0067,1.5,12,4,-1144.296349,5.005
9.5,1.00145,1.5,12,4,-1144.296349,5.005
10,0.99631,1.5,12,4,-1144.296349,5.005
10.5,0.99125,1.5,12,4,-1144.296349,5.005
11,0.98629,1.5,12,4,-1144.296349,5.005
11.5,0.98142,1.5,12,4,-1144.296349,5.005
12,0.97664,1.5,12,4,-1144.296349,5.005
12.5,0.97193,1.5,12,4,-1144.296349,5.005
13,0.96731,1.5,12,4,-1144.296349,5.005
13.5,0.96276,1.5,12,4,-1144.296349,5.005
14,0.9583,1.5,12,4,-1144.296349,5.005
14.5,0.9539,1.5,12,4,-1144.296349,5.005
15,0.94959,1.5,12,4,-1144.296349,5.005
17.5,0.92959,1.5,12,4,-1144.296349,5.005
20,0.91083,1.5,12,4,-1144.296349,5.005
22.5,0.89367,1.5,12,4,-1144.296349,5.005
25,0.87804,1.5,12,4,-1144.296349,5.005
27.5,0.86389,1.5,12,4,-1144.296349,5.005
30,0.85114,1.5,12,4,-1144.296349,5.005
32.5,0.83972,1.5,12,4,-1144.296349,5.005
35,0.82949,1.5,12,4,-1144.296349,5.005
37.5,0.82036,1.5,12,4,-1144.296349,5.005
40,0.8122,1.5,12,4,-1144.296349,5.005
42.5,0.8049,1.5,12,4,-1144.296349,5.005
45,0.79836,1.5,12,4,-1144.296349,5.005
47.5,0.79248,1.5,12,4,-1144.296349,5.005
50,0.78717,1.5,12,4,-1144.296349,5.005
52.5,0.78235,1.5,12,4,-1144.296349,5.005
55,0.77795,1.5,12,4,-1144.296349,5.005
57.5,0.77391,1.5,12,4,-1144.296349,5.005
60,0.77019,1.5,12,4,-1144.296349,5.005
0,0.84122,1.5,16,4,-1887.496731,5.042
0.5,0.85627,1.5,16,4,-1887.496731,5.042
1,0.88394,1.5,16,4,-1887.496731,5.042
1.5,0.91426,1.5,16,4,-1887.496731,5.042
2,0.94855,1.5,16,4,-1887.496731,5.042
2.5,0.98803,1.5,16,4,-1887.496731,5.042
3,1.02984,1.5,16,4,-1887.496731,5.042
3.5,1.05731,1.5,16,4,-1887.496731,5.042
4,1.06148,1.5,16,4,-1887.496731,5.042
4.5,1.05704,1.5,16,4,-1887.496731,5.042
5,1.05195,1.5,16,4,-1887.496731,5.042
5.5,1.04663,1.5,16,4,-1887.496731,5.042
6,1.04094,1.5,16,4,-1887.496731,5.042
6.5,1.03514,1.5,16,4,-1887.496731,5.042
7,1.02937,1.5,16,4,-1887.496731,5.042
7.5,1.0237,1.5,16,4,-1887.496731,5.042
8,1.01813,1.5,16,4,-1887.496731,5.042
8.5,1.01267,1.5,16,4,-1887.496731,5.042
9,1.00731,1.5,16,4,-1887.496731,5.042
9.5,1.00206,1.5,16,4,-1887.496731,5.042
10,0.99691,1.5,16,4,-1887.496731,5.042
10.5,0.99184,1.5,16,4,-1887.496731,5.042
11,0.98687,1.5,16,4,-1887.496731,5.042
11.5,0.98199,1.5,16,4,-1887.496731,5.042
12,0.97719,1.5,16,4,-1887.496731,5.042
12.5,0.97248,1.5,16,4,-1887.496731,5.042
13,0.96785,1.5,16,4,-1887.496731,5.042
13.5,0.96329,1.5,16,4,-1887.496731,5.042
14,0.95881,1.5,16,4,-1887.496731,5.042
14.5,0.9544,1.5,16,4,-1887.496731,5.042
15,0.95007,1.5,16,4,-1887.496731,5.042
17.5,0.93001,1.5,16,4,-1887.496731,5.042
20,0.91117,1.5,16,4,-1887.496731,5.042
22.5,0.89389,1.5,16,4,-1887.496731,5.042
25,0.87818,1.5,16,4,-1887.496731,5.042
27.5,0.86392,1.5,16,4,-1887.496731,5.042
30,0.85106,1.5,16,4,-1887.496731,5.042
32.5,0.83954,1.5,16,4,-1887.496731,5.042
35,0.82921,1.5,16,4,-1887.496731,5.042
37.5,0.81999,1.5,16,4,-1887.496731,5.042
40,0.81175,1.5,16,4,-1887.496731,5.042
42.5,0.80438,1.5,16,4,-1887.496731,5.042
45,0.79778,1.5,16,4,-1887.496731,5.042
47.5,0.79185,1.5,16,4,-1887.496731,5.042
50,0.78649,1.5,16,4,-1887.496731,5.042
52.5,0.78164,1.5,16,4,-1887.496731,5.042
