Date,Total,Income_per_capital,Installed_capacity,Mean_Air_Temp,Max_Air_Temp,Min_Air_Temp
2008.1.1,35129,16444.02075,72491,-1.7,7.3,-11.1
2008.2.1,34178,16444.02075,72491,-1.2,10.5,-10.1
2008.3.1,33294,16444.02075,72491,7.3,19.8,-1.7
2008.4.1,31705,16444.02075,72491,14.1,28,3.8
2008.5.1,30120,16444.02075,72491,17.7,28.5,8.1
2008.6.1,30352,16444.02075,72491,21.5,29.6,13.7
2008.7.1,32011,16444.02075,72491,25.1,32.9,20.2
2008.8.1,33021,16444.02075,72491,25.3,35.4,16.3
2008.9.1,31323,16444.02075,72491,22,32,10.3
2008.10.1,30403,16444.02075,72491,16.1,28.3,5.6
2008.11.1,30864,16444.02075,72491,7.6,18.4,-7.2
2008.12.1,32670,16444.02075,72491,1.1,13.3,-13.1
2009.1.1,34350,15045.71165,73470,-2,12.2,-11.4
2009.2.1,33306,15045.71165,73470,2.9,16.1,-8.6
2009.3.1,32615,15045.71165,73470,6,22.2,-3.3
2009.4.1,32478,15045.71165,73470,12.7,25.8,2.2
2009.5.1,30436,15045.71165,73470,19.1,31,9.8
2009.6.1,31079,15045.71165,73470,22.4,32.4,14.3
2009.7.1,32431,15045.71165,73470,24.3,32.4,18.7
2009.8.1,33044,15045.71165,73470,25.7,34.4,16.4
2009.9.1,33525,15045.71165,73470,21.8,29.9,14.4
2009.10.1,31044,15045.71165,73470,16,26.4,6.2
2009.11.1,33531,15045.71165,73470,6.9,21.8,-4.3
2009.12.1,36635,15045.71165,73470,-1,10.1,-12.9
2010.1.1,39713,18565.92751,76078,-4.5,8.4,-15.3
2010.2.1,37220,18565.92751,76078,1.4,17.9,-10.8
2010.3.1,35568,18565.92751,76078,4.3,14.2,-4
2010.4.1,35980,18565.92751,76078,9.5,20.7,1.1
2010.5.1,33820,18565.92751,76078,17.2,28.6,5.8
2010.6.1,33836,18565.92751,76078,23.4,32.7,12.1
2010.7.1,35551,18565.92751,76078,25.8,32.3,21
2010.8.1,37265,18565.92751,76078,26.5,33.8,19.9
2010.9.1,36254,18565.92751,76078,21.8,31.4,8.4
2010.10.1,33555,18565.92751,76078,14.5,24.2,0.7
2010.11.1,36106,18565.92751,76078,6.5,17.4,-5.2
2010.12.1,39292,18565.92751,76078,-1.3,13.5,-15.1
2011.1.1,43117,20685.25637,79342,-7.2,0.3,-17.8
2011.2.1,39845,20685.25637,79342,1.2,13.2,-9.2
2011.3.1,38448,20685.25637,79342,3.6,16.8,-5.5
2011.4.1,37727,20685.25637,79342,10.7,19,4.3
2011.5.1,35466,20685.25637,79342,17.9,31.2,8.5
2011.6.1,35760,20685.25637,79342,22,32.9,14.4
