Date,Total,Income_per_capital,Installed_capacity,Mean_Air_Temp.,Max_Air_Temp.,Min_Air_Temp.
2008.1.1,35129,20430.63946,"72,491",-1.7,7.3,-11.1
2008.2.1,34178,20430.63946,"72,491",-1.2,10.5,-10.1
2008.3.1,33294,20430.63946,"72,491",7.3,19.8,-1.7
2008.4.1,31705,20430.63946,"72,491",14.1,28,3.8
2008.5.1,30120,20430.63946,"72,491",17.7,28.5,8.1
2008.6.1,30352,20430.63946,"72,491",21.5,29.6,13.7
2008.7.1,32011,20430.63946,"72,491",25.1,32.9,20.2
2008.8.1,33021,20430.63946,"72,491",25.3,35.4,16.3
2008.9.1,31323,20430.63946,"72,491",22,32,10.3
2008.10.1,30403,20430.63946,"72,491",16.1,28.3,5.6
2008.11.1,30864,20430.63946,"72,491",7.6,18.4,-7.2
2008.12.1,32670,20430.63946,"72,491",1.1,13.3,-13.1
2009.1.1,34350,18291.9196,"73,470",-2,12.2,-11.4
2009.2.1,33306,18291.9196,"73,470",2.9,16.1,-8.6
2009.3.1,32615,18291.9196,"73,470",6,22.2,-3.3
2009.4.1,32478,18291.9196,"73,470",12.7,25.8,2.2
2009.5.1,30436,18291.9196,"73,470",19.1,31,9.8
2009.6.1,31079,18291.9196,"73,470",22.4,32.4,14.3
2009.7.1,32431,18291.9196,"73,470",24.3,32.4,18.7
2009.8.1,33044,18291.9196,"73,470",25.7,34.4,16.4
2009.9.1,33525,18291.9196,"73,470",21.8,29.9,14.4
2009.10.1,31044,18291.9196,"73,470",16,26.4,6.2
2009.11.1,33531,18291.9196,"73,470",6.9,21.8,-4.3
2009.12.1,36635,18291.9196,"73,470",-1,10.1,-12.9
2010.1.1,39713,22086.95292,"76,078",-4.5,8.4,-15.3
2010.2.1,37220,22086.95292,"76,078",1.4,17.9,-10.8
2010.3.1,35568,22086.95292,"76,078",4.3,14.2,-4
2010.4.1,35980,22086.95292,"76,078",9.5,20.7,1.1
2010.5.1,33820,22086.95292,"76,078",17.2,28.6,5.8
2010.6.1,33836,22086.95292,"76,078",23.4,32.7,12.1
